SubTask,Instruction,molecule
LogP,Modify the molecule N#Cc1cc(NCc2cc(F)ccc2Br)ccc1[N+](=O)[O-] to decrease its LogP value.,ONc1cc(NCc2cc(F)ccc2Br)ccc1[N+](=O)[O-]
MR,Modify the molecule Clc1ccc(-c2nnc(NCc3ccco3)c3ccccc23)cc1 to have a higher MR value.,CC(=O)c1ccc(-c2nnc(NCc3ccco3)c3ccccc23)cc1
QED,Modify the molecule C[NH+](CC(=O)NC(C)(C)C)CC(=O)N1CCCCC1 to have a lower QED value.,C[NH+](CC(=O)NC(C)(C)C)C1CCCC1
AtomNum,"There is a molecule with 10 carbon atoms, and 1 nitrogen atom.",CCCCC(C)=CC=C(C)[NH3+]
BondNum,"The molecule consists of 10 single bonds, 4 rotatable bonds, and 11 aromatic bonds.",CC(C)c1ncc(-n2ccc(C3CC3)n2)c(CCl)n1
FunctionalGroup,"The molecule has 2 benzene ring groups, 1 amide group, 1 halo group, 1 thioether group, and 1 sulfide group.",Cc1cc(C)cc(NC(=O)CSC2=NC3(CC[NH+](C)CC3)N=C2c2ccc(F)cc2)c1
AddComponent,Please add a thiol to the molecule CCCCCCCCCCCOc1cscc1C(=O)OC.,CCCCC(S)CCCCCCOc1cscc1C(=O)OC
SubComponent,Substitute a hydroxyl in the molecule Oc1ccc(-c2cncc(C[NH+]3CC=C(c4ccccc4)CC3)c2)cc1 with a aldehyde.,CC(=O)c1ccc(-c2cncc(C[NH+]3CC=C(c4ccccc4)CC3)c2)cc1
DelComponent,Please remove a benzene ring from the molecule CC(=CCCC[NH3+])c1ccc(C2CCCCC2)cc1.,CC(=CCCC[NH3+])C1CCCCC1
LogP,Please modify the molecule CC(CO)([NH2+]CC(O)COc1cnsn1)c1ccccc1 to increase its LogP value.,CC(CC#N)([NH2+]CC(O)COc1cnsn1)c1ccccc1
MR,Please optimize the molecule [NH3+]CCCSCCCF to have a lower MR value.,CCCSCCC[NH3+]
QED,Optimize the molecule CC(C)n1c(CNC(=O)c2ccc(Cl)cc2)n[nH]c1=S to have a lower QED value.,CC(C)n1c(CNC(=O)c2ccccc2)n[nH]c1=S
AtomNum,"Please generate a molecule composed of 14 carbon atoms, and 4 oxygen atoms.",COCCOc1ccc(C(=O)[O-])c2ccccc12
BondNum,"The molecule is composed of 17 single bonds, 2 double bonds, 3 rotatable bonds, and 6 aromatic bonds.",CC(C)(C)[Si](C)(C)OC1CC(=O)C2C(c3ccccc3)=NOC12
FunctionalGroup,"There is a molecule with 1 benzene ring group, 1 amide group, 1 thioether group, and 1 sulfide group.",O=C(NCCSc1ccccc1)c1cc2c(ccc3ccccc32)o1
AddComponent,Add a benzene ring to the molecule CCc1nnc(SCc2cccc(C)c2)n1N=Cc1ccc(OC(C)(C)C)cc1.,Cc1cccc(CSc2nnc(CCc3ccccc3)n2N=Cc2ccc(OC(C)(C)C)cc2)c1
SubComponent,Substitute a halo in the molecule Cc1nc(C(=O)N2CCCC2(C)c2nc3c(C)cccc3n2C)c(-c2cccc(Cl)c2)s1 with a nitrile.,Cc1nc(C(=O)N2CCCC2(C)c2nc3c(C)cccc3n2C)c(-c2cccc(C#N)c2)s1
DelComponent,Please remove a CC12Oc3ccc(Oc4ccnc5c4CCC(=O)N5)cc3C1C2NC(=O)c1ccc(C[NH+]2CCCC(O)C2)c(C(F)(F)F)c1 from the molecule hydroxyl.,CC12Oc3ccc(Oc4ccnc5c4CCC(=O)N5)cc3C1C2NC(=O)c1ccc(C[NH+]2CCCCC2)c(C(F)(F)F)c1
LogP,Optimize the molecule CC(C)(C)CC(=O)N(Cc1ccc(NC(=O)c2ccccc2)cc1)Cc1cccc(C[NH3+])c1 to have a lower LogP value.,CC(C)(C)CC(=O)N(CC[NH3+])Cc1ccc(NC(=O)c2ccccc2)cc1
MR,Modify the molecule Cc1ccc(-c2cnc3c(C)cn(CC(=O)N(C)C)c3c2)s1 to increase its MR value.,Cc1ccc(-c2cnc3c(C)cn(C(C(=O)N(C)C)c4ccccc4)c3c2)s1
QED,Please optimize the molecule COc1ccc(C2Sc3cc(Cc4cccs4)ccc3N(CC[NH+](C)C)CC2OC(C)=O)cc1 to have a lower QED value.,COc1ccc(C2Sc3cc(Cc4cccs4)ccc3N(CC(O)[NH+](C)C)CC2OC(C)=O)cc1
AtomNum,"There is a molecule composed of 28 carbon atoms, 3 oxygen atoms, and 6 nitrogen atoms.",Cc1ccccc1C(C(=O)NCCC(C)C)N(CC[NH+]1CCOCC1)C(=O)Cn1nnc2ccccc21
BondNum,"Please generate a molecule composed of 9 single bonds, 4 rotatable bonds, and 12 aromatic bonds.",NNC(Cc1cccc(F)c1F)c1ccc(Br)cc1Br
FunctionalGroup,"There is a molecule consisting of 2 benzene ring groups, 1 amide group, 1 thioether group, and 2 sulfide groups.",CCc1ccc(-c2csc(NC(=O)CSc3nnc(COc4cccc(C)c4)o3)n2)cc1
AddComponent,Add a amine to the molecule Cc1ccc(NC(=O)c2ccc(C)c(NC(=O)C(C)[NH+]3CCC(C(=O)NC(C(=O)Nc4ccc(NC(=O)c5ccccc5Cl)c(C)c4)C(C)C)CC3)c2)cc1F.,Cc1ccc(NC(=O)c2cc(N)c(C)c(NC(=O)C(C)[NH+]3CCC(C(=O)NC(C(=O)Nc4ccc(NC(=O)c5ccccc5Cl)c(C)c4)C(C)C)CC3)c2)cc1F
SubComponent,Substitute a halo in the molecule O=C(CN1C(=O)C(=O)N(Cc2ccccc2)C1=O)Nc1ccc(F)cc1F with a carboxyl.,O=C(CN1C(=O)C(=O)N(Cc2ccccc2)C1=O)Nc1ccc(C(=O)[OH])cc1F
DelComponent,Remove a amide from the molecule CC(C)N(C(=O)c1c(C=C(O[Si](C)(C)C)c2ccccc2)ccc2ccccc12)C(C)C.,CC(C)c12ccccc1ccc(C=C(O[Si](C)(C)C)c1ccccc1)C2(C)C
LogP,Please modify the molecule COc1ccc(NC(=O)c2cc(-c3ccccc3F)on2)cc1S(=O)(=O)N1CCOCC1 to decrease its LogP value.,COc1ccc(NC(=O)c2cc(F)on2)cc1S(=O)(=O)N1CCOCC1
MR,Modify the molecule CCCC1(c2ccccc2Cl)N=C(C[NH3+])OC(CC)C1=O to have a lower MR value.,CCCC1(c2ccccc2)N=C(C[NH3+])OC(CC)C1=O
QED,Modify the molecule CC[NH2+]C(Cc1sccc1Br)c1cc(C)ccc1OC to decrease its QED value.,CC(=O)c1ccsc1CC([NH2+]CC)c1cc(C)ccc1OC
AtomNum,"Please generate a molecule composed of 26 carbon atoms, 2 oxygen atoms, 4 nitrogen atoms, and 2 sulfur atoms.",Cc1cc(-c2c(C)nn(-c3nc(C#Cc4ccccc4)c(SC(C)C)s3)c2C(=O)[O-])cc(C)n1
BondNum,"The molecule consists of 18 single bonds, 14 rotatable bonds, and 6 aromatic bonds.",CCCC[Sn](CCCC)(CCCC)c1cccc(COCOC)n1
FunctionalGroup,"Please generate a molecule with 1 benzene ring group, 1 ester group, and 1 amide group.",CCOC(=O)c1ccc(-c2ccc3c(C(N)=O)c(NC(N)=O)[nH]c3c2)cc1
AddComponent,Please add a carboxyl to the molecule Cc1nn(C(C)C)c(N(C)C(C)(C)CO)c1N.,Cc1nn(C(C)CC(=O)O)c(N(C)C(C)(C)CO)c1N
SubComponent,Please substitute a hydroxyl in the molecule CC(C)COc1ccc(C2=C([NH+]3CCCC(CO)C3)C(=O)N(Cc3ccccc3)C2=O)cc1 with a thiol.,CC(C)COc1ccc(C2=C([NH+]3CCCC(CS)C3)C(=O)N(Cc3ccccc3)C2=O)cc1
DelComponent,Modify the molecule amine by removing a CCCN(CC)c1ccc(N)s1.,CCCN(CC)c1cccs1
LogP,Modify the molecule CSc1ccc(-c2ccc3c(c2)C(=O)N2CCN(C(=O)CCC(=O)[O-])CC2C(=O)N3)cc1 to decrease its LogP value.,CSc1ccc(-c2ccc3c(c2)C(=O)N2CCN(C(=O)CCC(=O)[O-])C(C(=O)O)C2C(=O)N3)cc1
MR,Please optimize the molecule CCCC[NH+](CC)CC(O)c1ccc(C)cc1 to have a higher MR value.,CC(=O)C(C[NH+](CC)CCCC)c1ccc(C)cc1
QED,Please modify the molecule NC(=[NH2+])c1ccc(N2CCC(c3ccccc3)C2)nc1 to increase its QED value.,NCc1ccc(N2CCC(c3ccccc3)C2)nc1
AtomNum,"There is a molecule with 12 carbon atoms, 4 oxygen atoms, 3 nitrogen atoms, and 1 sulfur atom.",CCOC(=O)c1cn[nH]c1S(=O)(=O)N(C)CC1CC1C
BondNum,"There is a molecule composed of 9 single bonds, 2 double bonds, 6 rotatable bonds, and 6 aromatic bonds.",Cc1ccc(S(=O)(=O)NCCCC[NH3+])cc1Br
FunctionalGroup,"Please generate a molecule with 1 benzene ring group, and 2 amide groups.",O=C(NCC1(c2ccccc2)CCC1)C1CCN(C(=O)c2ccco2)CC1
AddComponent,Please add a benzene ring to the molecule CNC(=O)C[NH+]1CCC(NC(NCC(C)Oc2ccccc2)=[NH+]C)CC1.,CNC(=O)C[NH+]1CCC(NC(NCC(C)Oc2cccc(-c3ccccc3)c2)=[NH+]C)CC1
SubComponent,Please substitute a halo in the molecule Cc1occc1-c1nnc2sc(-c3ccccc3I)nn12 with a nitrile.,Cc1occc1-c1nnc2sc(-c3ccccc3C#N)nn12
DelComponent,Please remove a halo from the molecule CCC(=O)Nc1ccc(-c2cc3c(o2)CCN(C(=O)c2ccc(C(F)(F)F)cc2)C3)cc1.,CCC(=O)Nc1ccc(-c2cc3c(o2)CCN(C(=O)c2ccc(C(F)F)cc2)C3)cc1
LogP,Modify the molecule CC[NH2+]C(c1ccc(C)cc1)C(C)CC to increase its LogP value.,CC[NH2+]C(c1ccc(Cc2ccccc2)cc1)C(C)CC
MR,Optimize the molecule COC(=O)c1ccc(NC(C)Cn2ccnc2)c(F)c1F to have a higher MR value.,CC(Cn1ccnc1)Nc1ccc(C(=O)OCc2ccccc2)c(F)c1F
QED,Modify the molecule CN(Cc1ccccc1)C(=O)CCNc1ccccc1Cl to have a lower QED value.,CN(Cc1ccccc1)C(=O)CCNc1ccccc1NO
AtomNum,"There is a molecule composed of 9 carbon atoms, 2 oxygen atoms, and 3 nitrogen atoms.",Cc1oncc1C(=O)NCC=CC[NH3+]
BondNum,"Please generate a molecule consisting 13 single bonds, 1 double bond, 5 rotatable bonds, and 6 aromatic bonds.",COc1cc(CC(=O)[O-])nc(OC(F)(F)F)c1C(F)F
FunctionalGroup,"The molecule has 1 benzene ring group, 3 amide groups, 1 amine group, and 1 halo group.",C#CCN(CCc1c[nH]c2[nH]c(N)nc(=O)c12)c1ccc(C(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC(=O)[O-])C(=O)[O-])C(=O)[O-])C(=O)[O-])c(Cl)c1
AddComponent,Add a hydroxyl to the molecule CCN(C(=O)c1ccc(=O)n(Cc2cccc([N+](=O)[O-])c2)c1)c1ccccc1C.,Cc1ccccc1N(C(=O)c1ccc(=O)n(Cc2cccc([N+](=O)[O-])c2)c1)C(C)O
SubComponent,Substitute a halo in the molecule CC=CC(=O)N(C)CCOc1ccc(Cl)cc1 with a hydroxyl.,CC=CC(=O)N(C)CCOc1ccc(O)cc1
DelComponent,Remove a amide from the molecule CCC1NC(=O)CN(CC(C2CC2)C2CC2)C1=O.,CCC1C(=O)N1CC(C1CC1)C1CC1
LogP,Modify the molecule CSCC(C)[NH2+]Cc1nc(C)c(C)s1 to have a lower LogP value.,CSCC(C)[NH2+]Cc1nc(C)c(CO)s1
MR,Please optimize the molecule O=C1CCC(C(=O)N2CCCN(C(=O)c3c[nH]c4ccccc34)CC2)=NN1 to have a lower MR value.,O=C(C1=NC1)N1CCCN(C(=O)c2c[nH]c3ccccc23)CC1
QED,Modify the molecule CC(C[NH2+]CC1CCCO1)Sc1cccc(F)c1 to decrease its QED value.,CC(C[NH2+]CC1CCCO1)Sc1ccccc1
AtomNum,"The molecule consists of 20 carbon atoms, 1 oxygen atom, and 3 nitrogen atoms.",O=C(NCC(Cc1cccnc1)c1ccccc1)c1cccnc1
BondNum,"The molecule has 11 single bonds, 5 rotatable bonds, and 11 aromatic bonds.",Cn1cnnc1CC[NH2+]C1CC(c2cccc(Br)c2)C1
FunctionalGroup,"The molecule is composed of 1 benzene ring group, 1 amide group, and 1 amine group.",CN(C(=O)c1cccc(Nc2nc(=O)c3ccccc3[nH]2)c1)C1CC[NH+](C)CC1
AddComponent,Modify the molecule CC(Oc1nncc2cc(-c3cccc(C(N)=O)c3)ccc12)C(F)(F)F by adding a hydroxyl.,CC(Oc1nncc2cc(-c3cc(O)cc(C(N)=O)c3)ccc12)C(F)(F)F
SubComponent,Substitute a Cc1cccc(CCN(Cc2cc3cc4c(cc3[nH]c2=O)OCO4)S(=O)(=O)c2ccc(Cl)cc2)c1 in the molecule halo with a hydroxyl.,Cc1cccc(CCN(Cc2cc3cc4c(cc3[nH]c2=O)OCO4)S(=O)(=O)c2ccc(O)cc2)c1
DelComponent,Please remove a amine from the molecule CCCCCNc1nc(NCC)nc(N(C)C)n1.,CCCCCc1nc(NCC)nc(N(C)C)n1
LogP,Optimize the molecule CCn1c(Cc2ccc(OC)cc2)nnc1SCC(=O)Nc1sc(C(=O)N(C)C)c(C)c1C(=O)OC to have a higher LogP value.,CCn1c(Cc2ccc(OC)cc2)nnc1Sc1sc(C(=O)N(C)C)c(C)c1C(=O)OC
MR,Optimize the molecule NC(=O)C=C1CN=C(c2ccccc2Cl)c2cc(CCl)ccc2N1 to have a lower MR value.,NC(=O)C=C1CN=C(Cl)c2cc(CCl)ccc2N1
QED,Modify the molecule OC(CNc1cc(C(F)(F)F)cc(Cl)n1)c1ccccc1 to decrease its QED value.,N#CC(F)(F)c1cc(Cl)nc(NCC(O)c2ccccc2)c1
AtomNum,"The molecule consists of 13 carbon atoms, 2 oxygen atoms, 3 nitrogen atoms, and 1 sulfur atom.",CC(C)C(CO)NC(=O)Cc1cccc2nsnc12
BondNum,"The molecule has 11 single bonds, 1 double bond, 3 rotatable bonds, and 16 aromatic bonds.",Cc1cc(C)c2nc(NC(=O)C3CNNC3c3ccccc3)sc2c1
FunctionalGroup,"The molecule is composed of 2 benzene ring groups, 1 ketone group, 1 ester group, 1 amide group, and 1 halo group.",CCOC(=O)CC(=O)N(CC(=O)c1ccc(F)c(C)c1)c1ccccc1
AddComponent,Please add a benzene ring to the molecule CC1CC2C(=O)N(C3CCCCC3(C)C(=O)[O-])C(=O)C2C1.,CC1CC2C(=O)N(C3CCCCC3(C)C(=O)[O-])C(=O)C2C1c1ccccc1
SubComponent,Substitute a hydroxyl in the molecule CCC(O)(C[NH3+])Cc1ccc(F)cc1 with a nitro.,CCC(C[NH3+])(Cc1ccc(F)cc1)NO
DelComponent,Please remove a hydroxyl from the molecule CC(=O)N1c2cccc(O)c2NC2=C(C(=O)CC(C)(C)C2)C1c1ccc(OCc2ccncc2)cc1Cl.,CC(=O)N1c2ccccc2NC2=C(C(=O)CC(C)(C)C2)C1c1ccc(OCc2ccncc2)cc1Cl
LogP,Modify the molecule C=CCOc1cc(C(F)(F)F)nc(N)n1 to decrease its LogP value.,C=CCOc1cc(C(F)F)nc(N)n1
MR,Please optimize the molecule CCC(C)c1ccc(NC(=O)CSCc2ccc(Cl)cc2)cc1 to have a higher MR value.,CCC(CN)c1ccc(NC(=O)CSCc2ccc(Cl)cc2)cc1
QED,Optimize the molecule COc1cccc([Ge](C)(C)C)c1 to have a higher QED value.,COc1cccc([Ge](C)(C)Cc2ccccc2)c1
AtomNum,"The molecule has 16 carbon atoms, 5 nitrogen atoms, 1 sulfur atom, and 1 bromine atom.",CC1CCCCC1NC(=S)N1CCN(c2ncc(Br)cn2)CC1
BondNum,"The molecule has 16 single bonds, 1 double bond, 3 rotatable bonds, and 6 aromatic bonds.",COc1cccc(OC)c1C(=O)N1C(C)CC2C[NH2+]CC21
FunctionalGroup,The molecule has and 1 amide group.,CCN(CCn1cccn1)c1ncccc1C(=O)N(C)C
AddComponent,Modify the molecule CC1CC[NH+](C(CNC(=O)CN(C)S(=O)(=O)c2ccc(Cl)cc2)c2cccs2)CC1 by adding a hydroxyl.,CC1CC[NH+](C(CNC(=O)CN(CO)S(=O)(=O)c2ccc(Cl)cc2)c2cccs2)CC1
SubComponent,Modify the molecule hydroxyl by substituting a CC(C[NH+](C)CC1(O)CCOCC1)C(N)=[NH+]O with a thiol.,CC(C[NH+](C)CC1(S)CCOCC1)C(N)=[NH+]O
DelComponent,Modify the molecule amide by removing a COC(=O)c1ccc(NC(=O)C(C)=C(C)C(=O)[O-])cc1.,COC(=O)c1ccc(C(C)(C)C(=O)[O-])cc1
LogP,Please optimize the molecule Cc1ccccc1CC(NC(=O)C(CCC(=O)[O-])NC(=O)C([NH3+])CC(=O)[O-])C(=O)N(C(=O)CCC(=O)[O-])C(C(=O)NC(CC(C)C)C(=O)NC=CCCB(O)O)C1CCCCC1 to have a lower LogP value.,Cc1ccccc1CC(NC(=O)C(CCC(=O)[O-])NC(=O)C([NH3+])C(C(=O)[O-])C(=O)O)C(=O)N(C(=O)CCC(=O)[O-])C(C(=O)NC(CC(C)C)C(=O)NC=CCCB(O)O)C1CCCCC1
MR,Modify the molecule COC(=O)Cc1c(C)c2ccc3c(c2oc1=O)C[NH+](CCc1ccccc1OC)CO3 to have a lower MR value.,COCC[NH+]1COc2ccc3c(C)c(CC(=O)OC)c(=O)oc3c2C1
QED,Modify the molecule Cc1ccc(C(=O)NC(=S)Nc2ccc(C(=O)N3CCCCC3)cc2)cc1I to have a higher QED value.,Cc1ccc(C(=O)NC(=S)NC(=O)N2CCCCC2)cc1I
AtomNum,"The molecule has 12 carbon atoms, 2 oxygen atoms, and 2 nitrogen atoms.",CC(C)(C)OC(=O)NC1CCCC(C[NH3+])C1
BondNum,"The molecule is composed of 6 single bonds, 1 triple bond, 2 rotatable bonds, and 11 aromatic bonds.",Cc1ccc(F)c(-c2cc(CC#N)c(C)s2)c1
FunctionalGroup,"Please generate a molecule with 1 benzene ring group, and 1 ester group.",C=C(C)C(=O)OCCOc1cccc(N(CC)CC)c1
AddComponent,Add a hydroxyl to the molecule CC(CNC(=O)c1c[nH]c2cc(N)ccc12)[NH+](C)C.,CC(CNC(=O)c1c[nH]c2cc(N)cc(O)c12)[NH+](C)C
SubComponent,Substitute a halo in the molecule Cc1nc(Cl)c(NCC2CC[NH+](C(C)C)C2)nc1C with a thiol.,Cc1nc(S)c(NCC2CC[NH+](C(C)C)C2)nc1C
DelComponent,Remove a Cn1c(=O)c2ccccc2n2c(COC(=O)c3cccc(NS(=O)(=O)c4ccccc4)c3)nnc12 from the molecule amine.,Cn1c(=O)c2ccccc2n2c(COC(=O)c3cccc(S(=O)(=O)c4ccccc4)c3)nnc12
LogP,Please modify the molecule COC1(C(C)(C)O)CCC(=O)C2(CCCCO2)O1 to increase its LogP value.,COC1(C(C)C)CCC(=O)C2(CCCCO2)O1
MR,Modify the molecule CCN(CC(F)(F)F)C(=O)c1c(C)[nH]c(C(=O)[O-])c1C to decrease its MR value.,CCN(CC(F)F)C(=O)c1c(C)[nH]c(C(=O)[O-])c1C
QED,Please modify the molecule CC[NH+](CC)Cc1cc(C(N)=S)ccc1F to decrease its QED value.,CC[NH+](CC)Cc1cccc(C(N)=S)c1
AtomNum,"There is a molecule consisting of 32 carbon atoms, 1 oxygen atom, 2 nitrogen atoms, 1 sulfur atom, and 6 fluorine atoms.",O=C(c1ccc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c(-c2cc3ccccc3s2)c1)N1CCC(c2cccnc2)C1
BondNum,"Please generate a molecule with 12 single bonds, 3 double bonds, 7 rotatable bonds, and 6 aromatic bonds.",C=C(C)COCCNC(=O)c1cc(F)c(F)cc1C(=O)[O-]
FunctionalGroup,"The molecule is composed of 2 benzene ring groups, and 1 amide group.",CCOc1ccc(-c2n[nH]c(=S)n2CCC(=O)N2CCC(CCc3ccc(C)cc3)CC2)cc1
AddComponent,Please add a aldehyde to the molecule O=C(OCc1ccccc1)N1CCCC1C(O)O.,O=CCC1CCN(C(=O)OCc2ccccc2)C1C(O)O
SubComponent,Please substitute a halo in the molecule COc1ccc(C(=O)c2ccc(OC)cc2Cc2ccc(Br)cc2)c(Cc2ccc(Br)cc2)c1 with a aldehyde.,CC(=O)c1ccc(Cc2cc(OC)ccc2C(=O)c2ccc(OC)cc2Cc2ccc(Br)cc2)cc1
DelComponent,Please remove a amine from the molecule Cc1cnc(Nc2nc3ccccc3o2)s1.,Cc1cnc(-c2nc3ccccc3o2)s1
LogP,Modify the molecule O=C(OC(CCCCO)CCCCO)c1ccccc1 to have a higher LogP value.,O=C(OC(CCCCO)CCCCS)c1ccccc1
MR,Please optimize the molecule Cc1ccc2nc(N3CCS(=O)(=O)c4ccccc4C3)nc(NCC(C)(C)[NH3+])c2c1 to have a higher MR value.,Cc1ccc2nc(N3CCS(=O)(=O)c4ccccc4C3)nc(NC(N)C(C)(C)[NH3+])c2c1
QED,Please modify the molecule COc1ccc(-n2cc(-c3ccnc(C(C)C)n3)c(C)n2)cc1 to increase its QED value.,COn1cc(-c2ccnc(C(C)C)n2)c(C)n1
AtomNum,"Please generate a molecule consisting 20 carbon atoms, 2 oxygen atoms, 5 nitrogen atoms, and 2 sulfur atoms.",CC(C)CNC(=O)N1CC[NH+](Cc2nc3scc(-c4cccs4)c3c(=O)[nH]2)CC1
BondNum,"There is a molecule composed of 16 single bonds, 2 double bonds, 10 rotatable bonds, and 24 aromatic bonds.",COC(=O)c1cc(Cc2ccc(Oc3ccc(Cc4ccc(OC)c(C(=O)OC)c4)cc3)cc2)ccc1OC
FunctionalGroup,"There is a molecule consisting of 2 ester groups, and 1 sulfide group.",COC(=O)c1sccc1OCC(=O)OC(C)(C)C
AddComponent,Modify the molecule CCCC=CCCCCCCCCCCCCCCOC1C(CO)OCC(O)C1O by adding a thiol.,CCCC=CCCCCCCCCCCCCCCOC1(S)C(CO)OCC(O)C1O
SubComponent,Please substitute a CCN(CC)C(=O)c1cccc(NC(=O)CSc2nnc(C(F)(F)F)n2N)c1 in the molecule halo with a nitrile.,CCN(CC)C(=O)c1cccc(NC(=O)CSc2nnc(C(F)(F)C#N)n2N)c1
DelComponent,Modify the molecule Cc1cc(Br)cc(NC(=O)C(C)(C)CCl)c1 by removing a halo.,Cc1cc(Br)cc(NC(=O)C(C)(C)C)c1
LogP,Optimize the molecule COc1ccc(C(Oc2ccccn2)C(F)(F)I)cc1 to have a lower LogP value.,COc1ccc(C(Oc2ccccn2)C(O)(F)I)cc1
MR,Modify the molecule N=Cc1cc(Nc2ncnc3[nH]ncc23)ccc1N to increase its MR value.,N=Cc1cc(Nc2nc(O)nc3[nH]ncc23)ccc1N
QED,Modify the molecule CCCCC(=O)C(CC(=O)c1cccc(O)c1)c1cccs1 to decrease its QED value.,CCCCC(=O)C(CC(=O)c1cccc(F)c1)c1cccs1
AtomNum,"There is a molecule with 23 carbon atoms, and 1 nitrogen atom.",CCCCCCC=Cc1nc2ccccc2cc1CCCCCC
BondNum,"There is a molecule with 16 single bonds, 2 double bonds, 7 rotatable bonds, and 18 aromatic bonds.",O=C(Cc1ccc([N+](=O)[O-])cc1)Nc1ccc(N2CC[NH+](Cc3ccccc3Cl)CC2)cc1
FunctionalGroup,"The molecule contains 1 benzene ring group, and 1 halo group.",CCCN(C)c1ccc(C[NH2+]CC(C)C)c(Br)c1
AddComponent,Add a benzene ring to the molecule CCOc1ccc(Oc2cc(CNC(=O)C(NC(=O)c3ccccc3)c3ccccc3)ccn2)cc1.,CCOc1ccc(Oc2cc(CNC(=O)C(NC(=O)c3ccccc3-c3ccccc3)c3ccccc3)ccn2)cc1
SubComponent,Substitute a hydroxyl in the molecule OCC(COc1ccc2c(c1)CCC2)([NH2+]C1CC1)C1CC1 with a halo.,FCC(COc1ccc2c(c1)CCC2)([NH2+]C1CC1)C1CC1
DelComponent,Please remove a CC(C)(C)C(=Cc1ccc(Cl)cc1)C(=O)C(=Cc1ccc(Cl)cc1)C(C)(C)C from the molecule halo.,CC(C)(C)C(=Cc1ccccc1)C(=O)C(=Cc1ccc(Cl)cc1)C(C)(C)C
